num,word
1,של
2,את
3,על
4,לא
5,הוא
6,עם
7,כי
8,היה
9,זה
10,גם
11,ב
12,כל
13,ה
14,בין
15,או
16,אל
17,אך
18,יותר
19,היא
20,לאחר
21,אבל
22,ל
23,היו
24,עד
25,זו
26,הם
27,אשר
28,הייתה
29,בשנת
30,כך
31,רק
32,אף
33,ביותר
34,אני
35,עוד
36,רבים
37,כמו
38,בית
39,אם
40,זאת
41,שם
42,יש
43,מה
44,לי
45,כן
46,כ
47,לו
48,מספר
49,בו
50,העיר
51,מ
52,כדי
53,אותו
54,דבר
55,ו
56,בכל
57,אלו
58,שני
59,אלה
60,כאשר
61,אין
62,אמר
63,באופן
64,הברית
65,מן
66,שלא
67,ידי
68,לפני
69,הן
70,העולם
71,פי
72,במהלך
73,שלו
74,בה
75,מאד
76,ניתן
77,אז
78,בעל
79,אחרים
80,דרך
81,ולא
82,חלק
83,אותה
84,בן
85,בני
86,אולם
87,אחר
88,כמה
89,המאה
90,החל
91,נגד
92,אנשי
93,אותם
94,כלל
95,מנת
96,כיום
97,שונים
98,המלחמה
99,שנים
100,כבר
101,רב
102,בשל
103,בהם
104,גדול
105,להם
106,בעיקר
107,אלא
108,היום
109,במקום
110,שהיה
111,וכן
112,הרב
113,שבו
114,זמן
115,יכול
116,להיות
117,לה
118,יהודים
119,היהודים
120,נוספים
121,הים
122,ללא
123,מקום
124,חיים
125,המדינה
126,הארגון
127,אחרי
128,רבות
129,שהוא
130,שנה
131,בעלי
132,מתוך
133,תוך
134,ראש
135,מלחמת
136,אדם
137,מול
138,איש
139,בדרך
140,נוספת
141,שימוש
142,כגון
143,יום
144,באמצעות
145,מכן
146,במשך
147,ואף
148,לך
149,האדם
150,אתה
151,בשם
152,ועל
153,הממשלה
154,לכל
155,תחת
156,לעתים
157,הזה
158,מהם
159,למרות
160,אמרה
161,עצמו
162,שנות
163,כמעט
164,אינו
165,בנוסף
166,בידי
167,בעקבות
168,בעיר
169,לפי
170,בקרב
171,כפי
172,המשחק
173,מי
174,רוב
175,עבור
176,ואת
177,בעת
178,ארצות
179,למשל
180,הצבא
181,ההגנה
182,כלי
183,נוסף
184,באזור
185,טוב
186,בעולם
187,כוחות
188,בתוך
189,הארץ
190,פני
191,בארץ
192,והוא
193,הדבר
194,בלבד
195,כוח
196,בבית
197,מאז
198,החיים
199,ימים
200,לאורך
201,מים
202,הרבה
203,בלתי
204,עליו
205,אביב
206,מעל
207,הגדול
208,אי
209,הספר
210,פעם
211,ראו
212,בכך
213,נראה
214,לבין
215,ועד
216,כנגד
217,רבה
218,שבה
